"","Word","Eigenvector Centrality","Word Length"
"1","BAD",0.578380161422832,3
"2","BED",0.441110721373143,3
"3","BLACK",0.452534659521838,5
"4","CAR",0.401792113912509,3
"5","DEAD",0.346175446794554,4
"6","DEATH",0.503922780605951,5
"7","FEAR",0.370353764709607,4
"8","FOOD",0.511927330272536,4
"9","GIRL",0.565179573400328,4
"10","GOD",0.356826554011507,3
"11","GOOD",0.789069923690284,4
"12","GREAT",0.346397488474268,5
"13","HAPPY",0.372267455310988,5
"14","HARD",0.413650021479716,4
"15","HELP",0.405968504109885,4
"16","HOME",0.481596884700601,4
"17","HOUSE",0.46211256350692,5
"18","IN",0.357192898380089,2
"19","LIFE",0.644975721145959,4
"20","LOVE",0.631690863903589,4
"21","MAN",0.952715540113934,3
"22","ME",1,2
"23","MONEY",0.602443147905572,5
"24","NEVER",0.36889808191275,5
"25","NICE",0.522848496540743,4
"26","NO",0.694722534409102,2
"27","NOTHING",0.562875793722891,7
"28","NOW",0.422841961380059,3
"29","OF",0.433321527083168,2
"30","OUT",0.429216407014723,3
"31","PAIN",0.378763134022999,4
"32","PEOPLE",0.671897191246487,6
"33","PERSON",0.420629383978966,6
"34","RED",0.406838807389706,3
"35","SCHOOL",0.396049408501154,6
"36","SEX",0.791775435863062,3
"37","TIME",0.611704417894588,4
"38","TO",0.373834447546553,2
"39","UP",0.437390711222542,2
"40","WATER",0.493437811735248,5
"41","WHAT",0.499475069624327,4
"42","WHITE",0.352932573927675,5
"43","WOMAN",0.456663234915353,5
"44","WOMEN",0.389482634723428,5
"45","WORK",0.642888911290151,4
"46","YES",0.63925978596389,3
"47","YOU",0.352072860972139,3
