"","Word","Eigenvector Centrality","Word Length"
"1","ABOUT",0.199320014211167,5
"2","AGAIN",0.217200208507939,5
"3","ALL",0.246935660773486,3
"4","ALONE",0.200316555828483,5
"5","ANGER",0.202967766212085,5
"6","ANIMAL",0.248515189125256,6
"7","ART",0.201051952719878,3
"8","AWAY",0.229759352614528,4
"9","BABY",0.250655396619866,4
"10","BACK",0.215941449020813,4
"11","BAD",0.57838016142283,3
"12","BALL",0.223033838056765,4
"13","BEAUTIFUL",0.242516785415534,9
"14","BEAUTY",0.260481711237014,6
"15","BED",0.441110721373142,3
"16","BEER",0.217274102675135,4
"17","BIG",0.242850325803444,3
"18","BIRD",0.271642077782914,4
"19","BLACK",0.452534659521837,5
"20","BLOOD",0.233654878773426,5
"21","BLUE",0.292944714468484,4
"22","BOAT",0.205379945796899,4
"23","BODY",0.301329598035208,4
"24","BOOK",0.342837400071767,4
"25","BORE",0.2136190028821,4
"26","BORING",0.204063585039179,6
"27","BOX",0.236914457489216,3
"28","BOY",0.337582801696888,3
"29","BRIGHT",0.197142088019224,6
"30","BROWN",0.222677502993867,5
"31","CAR",0.401792113912509,3
"32","CARE",0.194077154547108,4
"33","CHILD",0.31698191438686,5
"34","CHILDREN",0.253464746357587,8
"35","CHURCH",0.272319040558454,6
"36","CLEAN",0.20187085429198,5
"37","CLOTHES",0.290019155156232,7
"38","COLD",0.309003557093526,4
"39","COLOUR",0.213043954489939,6
"40","COUNTRY",0.275910182790224,7
"41","CUT",0.198567341022962,3
"42","DANCE",0.197135043104432,5
"43","DARK",0.283651410185075,4
"44","DAY",0.231139135154365,3
"45","DEAD",0.346175446794553,4
"46","DEATH",0.50392278060595,5
"47","DIRT",0.214679424373538,4
"48","DIRTY",0.260358251846769,5
"49","DO",0.197648425875794,2
"50","DOCTOR",0.20138060945157,6
"51","DOG",0.340742421523298,3
"52","DOWN",0.311410511803777,4
"53","DRESS",0.22559505772782,5
"54","DRINK",0.315193721450424,5
"55","EARTH",0.202944084264251,5
"56","EASY",0.213337709496911,4
"57","END",0.282062558654469,3
"58","EVIL",0.222823205767903,4
"59","EXAMS",0.202924738263956,5
"60","EYES",0.195550724331983,4
"61","FACE",0.294243242990087,4
"62","FAIR",0.198055336188745,4
"63","FALL",0.224505360749947,4
"64","FAST",0.228057460158553,4
"65","FAT",0.28546604980731,3
"66","FEAR",0.370353764709606,4
"67","FEET",0.214915525396311,4
"68","FEMALE",0.225296367088925,6
"69","FIGHT",0.244430709043391,5
"70","FINE",0.223343309231756,4
"71","FIRE",0.313393189770622,4
"72","FISH",0.232443116765378,4
"73","FLAT",0.195953122269016,4
"74","FOOD",0.511927330272537,4
"75","FOOL",0.301420250813061,4
"76","FOR",0.241832132276909,3
"77","FREE",0.237248585572282,4
"78","FRIEND",0.334409588257214,6
"79","FULL",0.209246492747202,4
"80","FUN",0.331054105177903,3
"81","GAME",0.24691606777328,4
"82","GIRL",0.565179573400327,4
"83","GIRLS",0.244273440277259,5
"84","GLASS",0.194714061967489,5
"85","GO",0.24815322412677,2
"86","GOD",0.356826554011507,3
"87","GOOD",0.789069923690284,4
"88","GREAT",0.346397488474268,5
"89","GREEN",0.324354339892484,5
"90","GROUP",0.21985560148811,5
"91","HAIR",0.293076779110382,4
"92","HAND",0.25847956384232,4
"93","HAPPINESS",0.235950791368878,9
"94","HAPPY",0.372267455310988,5
"95","HARD",0.413650021479716,4
"96","HATE",0.273816282404068,4
"97","HEAD",0.327508875924995,4
"98","HEART",0.19599636073714,5
"99","HELL",0.228964535053552,4
"100","HELP",0.405968504109884,4
"101","HERE",0.20716940329207,4
"102","HIGH",0.234754166529677,4
"103","HOLE",0.222367387397517,4
"104","HOME",0.4815968847006,4
"105","HORRIBLE",0.231384744934271,8
"106","HORSE",0.240356418480096,5
"107","HOT",0.247214349368685,3
"108","HOUSE",0.462112563506919,5
"109","HURT",0.272870564054656,4
"110","ILL",0.230928238797133,3
"111","IN",0.357192898380089,2
"112","IT",0.304747500343523,2
"113","JOY",0.216700269320691,3
"114","KILL",0.202500087368938,4
"115","KIND",0.212784529511855,4
"116","LAW",0.251039142574191,3
"117","LAZY",0.194383778799564,4
"118","LEGS",0.204411620751635,4
"119","LIFE",0.644975721145956,4
"120","LIGHT",0.309902324657428,5
"121","LIKE",0.222395280199843,4
"122","LINE",0.2161656891847,4
"123","LONG",0.250245758444061,4
"124","LOST",0.235440135939005,4
"125","LOVE",0.631690863903589,4
"126","LOVELY",0.254302600467449,6
"127","MAD",0.248297766191479,3
"128","MAN",0.952715540113935,3
"129","MANY",0.207397256781943,4
"130","MARRIAGE",0.217894669441815,8
"131","MATHS",0.235921439256436,5
"132","ME",1,2
"133","MEN",0.337220083665678,3
"134","MIND",0.303841227869975,4
"135","MINE",0.210224494139813,4
"136","MONEY",0.602443147905571,5
"137","MOTHER",0.244395945426083,6
"138","MUSIC",0.331732533454903,5
"139","NASTY",0.243764803898952,5
"140","NEVER",0.368898081912749,5
"141","NICE",0.522848496540742,4
"142","NIGHT",0.242854366127564,5
"143","NO",0.694722534409101,2
"144","NOISE",0.279854441980572,5
"145","NONE",0.32218892382483,4
"146","NOT",0.329601627680432,3
"147","NOTHING",0.56287579372289,7
"148","NOW",0.422841961380059,3
"149","OF",0.433321527083168,2
"150","OFF",0.259433777202108,3
"151","OLD",0.315085077509436,3
"152","ON",0.217706947972833,2
"153","ONE",0.228780983050181,3
"154","OUT",0.429216407014723,3
"155","OVER",0.250972845627789,4
"156","PAIN",0.378763134022999,4
"157","PAPER",0.331162622976179,5
"158","PARTY",0.281122192814369,5
"159","PEACE",0.218857730638366,5
"160","PEOPLE",0.671897191246487,6
"161","PERSON",0.420629383978965,6
"162","PLACE",0.23372045288726,5
"163","PLAY",0.294844445424394,4
"164","PLEASANT",0.208879964349486,8
"165","PLEASE",0.202241644048309,6
"166","PLEASURE",0.251083096444249,8
"167","POLICE",0.223195546685686,6
"168","POOR",0.220808618058141,4
"169","POWER",0.23258644513678,5
"170","QUIET",0.196075538026844,5
"171","RACE",0.19448176698271,4
"172","RED",0.406838807389706,3
"173","ROAD",0.237294245617605,4
"174","ROOM",0.283785857258962,4
"175","ROUND",0.217066347862932,5
"176","RUBBISH",0.280245003964331,7
"177","RUN",0.251146106713989,3
"178","SAD",0.324076897040226,3
"179","SCHOOL",0.396049408501154,6
"180","SEA",0.327554977872287,3
"181","SEX",0.791775435863062,3
"182","SHIP",0.261232565027977,4
"183","SHOP",0.226605763602261,4
"184","SICK",0.268665683353507,4
"185","SIN",0.199927913282361,3
"186","SKIN",0.229904009676524,4
"187","SLEEP",0.226377790639884,5
"188","SMALL",0.240709931856655,5
"189","SMELL",0.224369555800603,5
"190","SOCIETY",0.195706143050774,7
"191","SOFT",0.281220335156989,4
"192","SPACE",0.209676930115607,5
"193","STONE",0.220300602784213,5
"194","STOP",0.231274171339625,4
"195","STUDENT",0.229766169505796,7
"196","STUDY",0.201082761640715,5
"197","STUPID",0.268089331771574,6
"198","SUN",0.242762232313161,3
"199","SWEET",0.216675774169078,5
"200","THING",0.215552332051106,5
"201","THINK",0.307911762671112,5
"202","THIS",0.222006016506112,4
"203","THOUGHT",0.259276922292564,7
"204","TIME",0.611704417894588,4
"205","TIRED",0.250679531823035,5
"206","TO",0.373834447546553,2
"207","TRAIN",0.220289026696333,5
"208","TREE",0.273300790964144,4
"209","TROUBLE",0.232360722607901,7
"210","UGH",0.271812506099785,3
"211","UGLY",0.201770724993198,4
"212","UP",0.437390711222542,2
"213","WAR",0.285265285691214,3
"214","WARM",0.228588467754783,4
"215","WATER",0.493437811735247,5
"216","WELL",0.276505858873079,4
"217","WET",0.220187633885409,3
"218","WHAT",0.499475069624327,4
"219","WHITE",0.352932573927674,5
"220","WHY",0.261333535523635,3
"221","WIFE",0.207387355241669,4
"222","WITH",0.200645975425099,4
"223","WOMAN",0.456663234915353,5
"224","WOMEN",0.389482634723428,5
"225","WOOD",0.270057997887981,4
"226","WORD",0.212496181270823,4
"227","WORDS",0.222407882954613,5
"228","WORK",0.642888911290151,4
"229","WORRY",0.205926482717397,5
"230","WRONG",0.248589138999595,5
"231","YELLOW",0.199774865340005,6
"232","YES",0.639259785963889,3
"233","YOU",0.352072860972138,3
